Treatment	Pen	Intake021	Intake2142	gain021	gain2142	Mornglor021	mornglor2142	Totintake021	Totintake2142	Days021	Days2142
A	1	106,1	140,3	64,6	75,25	0	0	106,1	140,3	84,0	84,0
A	6	102,9	163,0	60,65	84,95	0	0	102,9	163,0	84,0	84,0
A	7	103,3	162,6	61,95	83,9	0	0	103,3	162,6	84,0	84,0
A	12	109,8	178,3	65,35	87,85	0	0	109,8	178,3	84,0	84,0
A	13	109,3	175,1	63	83,8	0	0	109,3	175,1	84,0	84,0
											
B	2	77,3	121,0	49,95	64,25	0	0	77,3	121,0	84,0	84,0
B	5	77,3	121,0	49,85	66,45	0	0	77,3	121,0	84,0	84,0
B	8	77,3	121,0	48,3	65,85	0	0	77,3	121,0	84,0	84,0
B	11	77,3	121,0	49,2	63,85	0	0	77,3	121,0	84,0	84,0
B	14	77,3	121,0	45,5	62,8	0	0	77,3	121,0	84,0	84,0
											
C	3	77,3	121,0	52,85	69,67	12,6	14,1	89,9	135,2	84,0	84,0
C	4	77,3	121,0	51,25	66,9	13,4	12,7	90,7	133,7	84,0	84,0
C	9	77,3	121,0	50,6	66,95	10,9	12,2	88,2	133,2	84,0	84,0
C	10	77,3	121,0	53,7	67	10,3	14,8	87,6	135,8	84,0	84,0
C	15	77,3	121,0	52,04	69,16	8,6	13,3	85,8	134,3	84,0	84,0
