col;Treat;0;20;40;60;90;120;180;240
Flash 1;Dry;0,075;0,265;0,316;0,351;0,41;0,491;0,632;0,671
Flash 1;Dry;0,076;0,267;0,32;0,367;0,421;0,497;0,6;0,685
Flash 10;Dry;0,106;0,32;0,348;0,417;0,516;0,519;0,603;0,747
Flash 10;Dry;0,1;0,314;0,35;0,408;0,521;0,525;0,61;0,74
BMR 1000;Dry;0,067;0,249;0,325;0,34;0,415;0,461;0,532;0,553
BMR 1000;Dry;0,07;0,24;0,324;0,347;0,435;0,472;0,54;0,557
3034;Dry;0,106;0,229;0,314;0,391;0,45;0,551;0,61;0,635
3034;Dry;0,107;0,231;0,319;0,38;0,461;0,561;0,595;0,638
JFOOD;Dry;0,124;0,35;0,405;0,514;0,551;0,616;0,65;0,671
JFOOD;Dry;0,125;0,355;0,401;0,52;0,542;0,62;0,66;0,677
Flash 1;Soak;0,07;0,191;0,27;0,361;0,413;0,432;0,635;0,668
Flash 1;Soak;0,0744;0,159;0,264;0,393;0,417;0,478;0,631;0,704
Flash 10;Soak;0,0787;0,241;0,434;0,421;0,455;0,552;0,661;0,684
Flash 10;Soak;0,076;0,201;0,363;0,402;0,495;0,48;0,687;0,694
BMR 1000;Soak;0,0592;0,178;0,258;0,342;0,454;0,622;0,653;0,733
BMR 1000;Soak;0,057;0,189;0,268;0,38;0,453;0,608;0,707;0,69
3034;Soak;0,0634;0,201;0,304;0,328;0,462;0,565;0,605;0,773
3034;Soak;0,053;0,218;0,285;0,322;0,497;0,638;0,677;0,767
JFOOD;Soak;0,0678;0,304;0,295;0,341;0,463;0,632;0,606;0,764
JFOOD;Soak;0,055;0,267;0,303;0,355;0,464;0,574;0,632;0,685
Flash 1;RecWho;0,091;0,273;0,34;0,529;0,616;0,556;0,692;0,829
Flash 1;RecWho;0,104;0,259;0,332;0,506;0,607;0,699;0,74;0,811
Flash 10;RecWho;0,101;0,27;0,316;0,436;0,531;0,59;0,744;0,854
Flash 10;RecWho;0,093;0,266;0,295;0,464;0,583;0,604;0,698;0,849
BMR 1000;RecWho;0,101;0,241;0,36;0,445;0,534;0,656;0,786;0,778
BMR 1000;RecWho;0,108;0,266;0,378;0,494;0,568;0,618;0,818;0,84
3034;RecWho;0,102;0,251;0,399;0,399;0,529;0,699;0,771;0,785
3034;RecWho;0,111;0,229;0,335;0,403;0,533;0,681;0,701;0,847
JFOOD;RecWho;0,102;0,219;0,382;0,51;0,566;0,624;0,743;0,82
JFOOD;RecWho;0,104;0,249;0,425;0,502;0,615;0,652;0,768;0,912
Flash 1;RecGro;0,028;0,222;0,434;0,481;0,589;0,768;0,826;0,987
Flash 1;RecGro;0,036;0,23;0,438;0,478;0,575;0,772;0,834;0,985
Flash 10;RecGro;0,085;0,34;0,32;0,432;0,653;0,799;0,854;0,915
Flash 10;RecGro;0,079;0,346;0,329;0,452;0,623;0,808;0,863;0,914
BMR 1000;RecGro;0,144;0,291;0,342;0,455;0,636;0,746;0,931;0,972
BMR 1000;RecGro;0,143;0,282;0,35;0,425;0,639;0,748;0,921;0,972
3034;RecGro;0,018;0,271;0,413;0,487;0,55;0,844;0,9;0,948
3034;RecGro;0,018;0,29;0,388;0,482;0,555;0,835;0,864;0,94
JFOOD;RecGro;0,189;0,322;0,391;0,544;0,746;0,786;0,796;0,949
JFOOD;RecGro;0,167;0,337;0,396;0,52;0,739;0,775;0,909;0,952
